Nike Global Manufacturing Data Export - Filters applied: ((none)),,,,,,,,,,,,,,,,,,
Factory Name,Product Type,"Nike, Inc. Brand(s)",Events,Address,City,State,Postal Code,Country,Operating Region,Total Workers,Line Workers,% Female Workers,% Migrant Workers,Contact Name,Contact Phone,Contact Fax,Contact Email,Subcons
"TIANJIN TIANXING KESHENG LEATHER PRODUCT, CO.,LTD",Footwear,Converse,,"JIAN SHE ROAD, CHENGGUAN TOWN, BAO DI",TIANJIN,BAODI,301800,China,Greater China,900,750,52,0,,,,,
TWINCITY LEATHER FASHION (GUANGZHOU) FACTORY,Apparel,Converse,,"NO. 1 DONG HUA DA LU DONG, TUHUA, XINJIAO, HAI ZHU DISTRICT",GUANGZHOU,GUANGDONG,510320,China,Greater China,280,210,60,0,,,,,
"W.W.RUBBER CO.,LTD",Footwear,Converse,,"NO.71 WANDA RD. JI TANG INDUSTRY DISTRICT, DA SHA, HUANG PU",GUANGZHOU,GUANGDONG,510700,China,Greater China,1150,863,30,127.9,,,,,
"WEILIN INDUSTRY CO., LTD.",Footwear,Converse,,"DONGTIAN VILLAGE, YANGXIA TOWN",FUQING,FUJIAN,350300,China,Greater China,1623,1301,50,0,,,,,
WELLFAIR CAPS& HATS MANUFACTURE,Equipment,Converse,,"NO.69,1ST MINXING ROAD, MINXING INDUSTRIAL ZONE, HUAXIN TOWN, QINGPU DISTRICT",SHANGHAI,SHANGHAI,201705,China,Greater China,158,101,63,0,,,,,
"WUXI RONGCHANG SOCKS INDUSTRIAL CO., LTD.",Equipment,Converse,,"XITANG VILLAGE, QIANZHOU TOWN,",WUXI CITY,JIANGSU,214181,China,Greater China,71,58,17,0,,,,,
XINLI OPTICAL MANUFACTORY(PREMIER),Equipment,Converse,,LONGTENG INDUSTRIAL AREA,SHENZHEN,GUANGDONG,518172,China,Greater China,415,320,40,125,,,,,
"YANGZHOU BAOYI  SHOES MANUFACTURING CO.,LTD.",Footwear,Converse,,"NO,168 YUYUAN ROAD,YUYUAN INDUSTRIAL PARK,YANGZHOU ECONOMIC AND TECHNICAL DEVELOPMENT ZONE,JIANGSU P",YANG ZHOU,JIANG SU,225009,China,Greater China,3500,3300,66,0,,,,,
"YANGZHOU BAOYI (ZHONGSHAN ) SHOES MANUFACTURING CO.,LTD.",Footwear,Converse,,"2ND INDUSTRIAL ESTATE BAISHI SANXIANG, ZHONGSHAN CITY,GUANGDONG PROVINCE.",ZHONGSHAN,GUANGDONG,528463,China,Greater China,320,162,85,0,,,,,
"YANTAI AEC CLOTHES CO.,LTD",Apparel,Converse,,"#9, TIANCHI SECOND ROAD, ECONOMIC & TECHNICAL DEVELOPMENT ZONE.",YANTAI,SHANDONG,,China,Greater China,260,225,80,0,,,,,
