conveyor,month,all_salary,workers,avg_pay,attrition,cus1,cus1ps,cus2,cus2ps,cus3,cus3ps,cus4,cus4ps,cus5,cus5ps,allps,cus1price,cus2price,cus3price,totalPairSale,avgprice,minprice,maxprice,numbuyers,numstyles,numartno,numbatches,cus6,cus6ps,cus1share,pschange,stylesch,artnoch,mbordering,mbleadtime,mbpricing,mbpay
C-1,7,576539.5,64,9008.429688,0.044776119,Crown,19751,Sparky,4780,Rhino,4596,K2,2910,Lamby,1705,34058,16.97347886,17.31251002,21.84978262,623458.7161,18.30579353,10.47934121,28.12187609,7,62,50,81,Bull,216,57.99224852,28.95872775,35,28,3,2,3,2
C-1,8,540051,63,8572.238095,0.015625,Crown,31256,Sparky,4393,Rhino,1572,Lamby,471,PortLand,31,37723,16.90204276,14.96508395,25.82717571,640257.5204,16.97260346,10.52799988,25.82717571,5,49,36,60,,,82.85661268,10.76105467,-13,-14,3,2,3,2
C-1,9,536091.1,59,9086.289831,0.063492063,Crown,16864,K2,3936,Sparky,1241,Curfu,1000,Bull,552,23654,16.46310606,27.27000046,10.3629316,428155.1488,18.10075035,10.3629316,27.27000046,6,25,19,32,Lamby,61,71.29449565,-37.29554913,-24,-17,3,2,3,2
C-2,1,657344.2,73,9004.715068,,Crown,31344,,,,,,,,,31344,16.08018813,,,504017.4168,16.08018813,16.08018813,16.08018813,1,15,8,26,,,100,,,,3,2,3,2
C-2,2,631480.2,72,8770.558333,0.01369863,Crown,13618,,,,,,,,,13618,16.42659417,,,223697.3594,16.42659417,16.42659417,16.42659417,1,20,11,30,,,100,-56.55308831,5,3,3,2,3,2
C-2,3,623031.5,71,8775.091549,0.013888889,Crown,21011,Rhino,2448,,,,,,,23459,16.66688161,20.14975423,,399514.4479,17.03032729,16.66688161,20.14975423,2,17,7,23,,,89.56477258,72.26464973,-3,-4,3,2,3,2
C-2,4,533033.9,71,7507.519718,0,Crown,4544,Rhino,3511,Bernie,100,,,,,8155,16.0107131,20.53102522,18.51028061,146688.1379,17.98750925,16.0107131,20.53102522,3,15,9,25,,,55.72041692,-65.23722239,-2,2,3,2,3,2
C-2,5,583085.6,71,8212.473239,0,Crown,14880,Bernie,1650,,,,,,,16530,16.0696006,19.24437003,,270868.8674,16.38650136,16.0696006,19.24437003,2,13,10,18,,,90.01814882,102.6977315,-2,1,3,2,3,2
C-2,6,525646.4,63,8343.593651,0.112676056,Crown,11055,,,,,,,,,11055,16.77855907,,,185486.9705,16.77855907,16.77855907,16.77855907,1,16,6,21,,,100,-33.1215971,3,-4,3,2,3,2
C-2,7,534175.8,59,9053.827119,0.063492063,Crown,37697,Rhino,1421,,,,,,,39118,16.57891142,20.41816995,,653989.4432,16.71837628,16.57891142,20.41816995,2,40,22,50,,,96.3674012,253.8489371,24,16,3,2,3,2
C-2,8,537181.3,59,9104.767797,0,Crown,26849,,,,,,,,,26849,17.52297836,,,470474.446,17.52297836,17.52297836,17.52297836,1,13,9,16,,,100,-31.36407792,-27,-13,3,2,3,2
C-2,9,578916.4,62,9337.36129,0,Crown,13109,,,,,,,,,13109,17.57949127,,,230449.551,17.57949127,17.57949127,17.57949127,1,20,7,32,,,100,-51.17509032,7,-2,3,2,3,2
C-3,1,653500.6,74,8831.089189,,Crown,22464,,,,,,,,,22464,16.28140324,,,365745.4423,16.28140324,16.28140324,16.28140324,1,23,14,35,,,100,,,,3,2,3,2
C-3,2,647810.4,74,8754.194595,0,Crown,21300,,,,,,,,,21300,17.48389774,,,372407.0218,17.48389774,17.48389774,17.48389774,1,12,8,17,,,100,-5.181623932,-11,-6,3,2,3,2
C-3,3,630407,70,9005.814286,0.054054054,Crown,15431,,,,,,,,,15431,17.23345715,,,265929.4772,17.23345715,17.23345715,17.23345715,1,10,7,13,,,100,-27.55399061,-2,-1,3,2,3,2
C-3,4,610928.1,70,8727.544286,0,Crown,15194,,,,,,,,,15194,16.69217122,,,253620.8495,16.69217122,16.69217122,16.69217122,1,16,10,18,,,100,-1.535869354,6,3,3,2,3,2
C-3,5,656209.7,75,8749.462667,0,Crown,16409,,,,,,,,,16409,15.75345964,,,258498.5192,15.75345964,15.75345964,15.75345964,1,13,8,15,,,100,7.996577596,-3,-2,3,2,3,2
C-3,6,531577.1,64,8305.892188,0.146666667,Crown,16604,,,,,,,,,16604,16.40529752,,,272393.56,16.40529752,16.40529752,16.40529752,1,20,14,24,,,100,1.188372235,7,6,3,2,3,2
C-3,7,542775.7,61,8897.962295,0.046875,Crown,29329,,,,,,,,,29329,17.01824499,,,499128.1073,17.01824499,17.01824499,17.01824499,1,38,18,57,,,100,76.63815948,18,4,3,2,3,2
C-3,8,541627.3,60,9027.121667,0.016393443,Crown,22190,Hannover,72,,,,,,,22262,16.77761055,27.25,,374257.178,16.81148046,16.77761055,27.25,2,19,13,21,,,99.67657892,-24.09560503,-19,-5,3,2,3,2
C-3,9,516052.9,57,9053.559649,0.05,Crown,17253,,,,,,,,,17253,17.3612006,,,299532.7939,17.3612006,17.3612006,17.3612006,1,19,15,22,,,100,-22.5002246,0,2,3,2,3,2
C-4,1,645171.4,76,8489.097368,,Crown,11371,,,,,,,,,11371,16.45407691,,,187099.3085,16.45407691,16.45407691,16.45407691,1,7,7,9,,,100,,,,3,2,3,2
C-4,2,647069.2,73,8863.961644,0.039473684,Crown,22317,,,,,,,,,22317,16.37718372,,,365489.6092,16.37718372,16.37718372,16.37718372,1,13,7,16,,,100,96.26242195,6,0,3,2,3,2
C-4,3,607777.7,72,8441.356944,0.01369863,Crown,20315,,,,,,,,,20315,16.38758384,,,332913.7657,16.38758384,16.38758384,16.38758384,1,12,7,17,,,100,-8.970739795,-1,0,3,2,3,2
C-4,4,574622.1,71,8093.269014,0.013888889,Crown,12665,,,,,,,,,12665,16.26529567,,,205999.9696,16.26529567,16.26529567,16.26529567,1,9,5,12,,,100,-37.65690377,-3,-2,3,2,3,2
C-4,5,563871.7,68,8292.230882,0.042253521,Crown,9856,PortLand,1120,,,,,,,10976,16.42802413,20.25,,184594.6058,16.81802166,16.42802413,20.25,2,9,6,11,,,89.79591837,-13.33596526,0,1,3,2,3,2
